0.0516,0.0673,0.0567
0.0512,0.0398,0.0607
0.0411,0.0839,0.0906
0.0361,0.0744,0.0497
0.0534,0.0870,0.0067
0.0082,0.0019,0.0783
0.0732,0.0818,0.0920
0.0751,0.0434,0.0734
0.0111,0.0602,0.0135
0.0888,0.0491,0.0390
0.0249,0.0728,0.0429
0.0535,0.0018,0.0581
0.0576,0.0580,0.0887
0.0641,0.0338,0.0411
0.0656,0.0057,0.0627
0.0631,0.0198,0.0121
0.0297,0.0342,0.0536
0.0412,0.0929,0.0096
0.0196,0.0152,0.0614
0.0238,0.0438,0.0230
0.0149,0.0104,0.0617
0.0130,0.0185,0.0347
0.0772,0.0091,0.0788
0.0090,0.0918,0.0441
0.0918,0.0569,0.0695
0.0037,0.0266,0.0113
0.0278,0.0112,0.0299
0.0390,0.0060,0.0651
0.0533,0.0250,0.0492
0.0088,0.0542,0.0874
0.0300,0.0628,0.0124
0.0674,0.0272,0.0172
0.0552,0.0019,0.0779
0.0004,0.0637,0.0254
0.0691,0.0905,0.0234
0.0542,0.0557,0.0538
0.0210,0.0896,0.0420
0.0796,0.0658,0.0280
0.0765,0.0373,0.0829
0.0547,0.0829,0.0651
0.0682,0.0471,0.0899
0.0606,0.0399,0.0570
0.0018,0.0284,0.0621
0.0273,0.0581,0.0403
0.0127,0.0280,0.0536
0.0556,0.0540,0.0614
0.0613,0.0406,0.0843
0.0346,0.0410,0.0839
0.0758,0.0662,0.0094
0.0865,0.0672,0.0939
0.0141,0.0816,0.0153
0.0579,0.0116,0.0797
0.0759,0.0535,0.0383
0.0065,0.0656,0.0426
0.0679,0.0815,0.0917
0.0805,0.0011,0.0338
0.0686,0.0161,0.0490
0.0051,0.0188,0.0017
0.0746,0.0211,0.0325
0.0873,0.0662,0.0030
0.0155,0.0584,0.0543
0.0224,0.0878,0.0577
0.0504,0.0555,0.0687
0.0293,0.0374,0.0197
0.0175,0.0888,0.0695
0.0461,0.0214,0.0239
0.0055,0.0408,0.0293
0.0655,0.0355,0.0169
0.0023,0.0063,0.0639
0.0427,0.0505,0.0843
0.0931,0.0204,0.0624
0.0248,0.0019,0.0713
0.0301,0.0361,0.0553
0.0781,0.0591,0.0821
0.0257,0.0750,0.0175
0.0896,0.0646,0.0203
0.0891,0.0687,0.0239
0.0201,0.0487,0.0024
0.0195,0.0399,0.0352
0.0436,0.0261,0.0552
0.0812,0.0111,0.0487
0.0124,0.0674,0.0372
0.0532,0.0172,0.0136
0.0459,0.0334,0.0884
0.0720,0.0704,0.0850
0.0078,0.0519,0.0550
0.0905,0.0275,0.0226
0.0094,0.0015,0.0874
0.0630,0.0738,0.0265
0.0551,0.0060,0.0457
0.0919,0.0824,0.0318
0.0904,0.0218,0.0893
0.0885,0.0752,0.0593
0.0822,0.0276,0.0798
0.0581,0.0012,0.0327
0.0139,0.0923,0.0450
0.0468,0.0601,0.0347
0.0129,0.0773,0.0179
0.0481,0.0211,0.0092
0.0811,0.0915,0.0903
0.0852,0.0728,0.0313
0.0076,0.0383,0.0218
0.0125,0.0050,0.0682
0.0011,0.0725,0.0138
0.0075,0.0084,0.0632
0.0231,0.0395,0.0524
0.0809,0.0684,0.0254
0.0124,0.0052,0.0284
0.0246,0.0429,0.0643
0.0654,0.0267,0.0357
0.0170,0.0741,0.0053
0.0655,0.0732,0.0731
0.0244,0.0352,0.0553
0.0257,0.0349,0.0185
0.0432,0.0042,0.0752
0.0072,0.0488,0.0288
0.0543,0.0902,0.0607
0.0033,0.0405,0.0480
0.0504,0.0641,0.0261
0.0121,0.0369,0.0899
0.0176,0.0850,0.0511
0.0430,0.0829,0.0431
0.0681,0.0375,0.0850
0.0649,0.0658,0.0308
0.0712,0.0598,0.0226
0.0151,0.0749,0.0902
0.0431,0.0556,0.0807
0.0430,0.0895,0.0541
0.0772,0.0855,0.0767
0.0150,0.0591,0.0375
0.0059,0.0399,0.0243
0.0798,0.0031,0.0902
0.0334,0.0335,0.0015
0.0174,0.0377,0.0874
0.0094,0.0889,0.0818
0.0427,0.0307,0.0219
0.0578,0.0031,0.0015
0.0403,0.0064,0.0237
0.0208,0.0238,0.0123
0.0011,0.0109,0.0582
0.0916,0.0931,0.0385
0.0153,0.0601,0.0461
0.0930,0.0061,0.0736
0.0271,0.0227,0.0623
0.0231,0.0626,0.0486
0.0399,0.0522,0.0270
0.0664,0.0390,0.0339
0.0779,0.0870,0.0043
0.0219,0.0328,0.0766
